nohup: 忽略输入
Time              -----------------------cpu---------------------- ----------------------------------------------------------------sfdv0n1-----------------------------------------------------------------  
Time                user     sys    wait    hirq    sirq    util    rrqms   wrqms   %rrqm   %wrqm      rs      ws   rsecs   wsecs  rqsize  rarqsz  warqsz  qusize   await  rawait  wawait   svctm    util    
23/11/25-18:48:18   1.65    0.13    0.04    0.00    0.02    1.79     0.00   76.00    0.00   14.45    0.00  450.00    0.00  162.0K  184.31    0.00  184.31    0.00    1.48    0.00    1.48    0.08    3.80    
23/11/25-18:48:19   1.65    0.19    0.06    0.00    0.00    1.83     0.00   79.00    0.00   13.91    0.00  489.00    0.00  173.8K  181.96    0.00  181.96    0.00    1.30    0.00    1.30    0.08    4.00    
23/11/25-18:48:20   2.40    1.36    0.06    0.00    0.02    3.78     0.00   78.00    0.00   14.58    0.00  457.00    0.00  161.2K  180.63    0.00  180.63    0.00    1.26    0.00    1.26    0.08    3.50    
23/11/25-18:48:21   1.90    0.35    0.04    0.00    0.00    2.25     0.00   82.00    0.00   15.19    0.00  458.00    0.00  160.9K  179.84    0.00  179.84    0.00    1.25    0.00    1.25    0.09    4.00    
23/11/25-18:48:22   1.67    0.15    0.06    0.00    0.00    1.81     0.00   80.00    0.00   13.86    0.00  497.00    0.00  181.7K  187.15    0.00  187.15    0.00    1.28    0.00    1.28    0.08    4.20    
23/11/25-18:48:23   1.86    0.25    0.06    0.00    0.02    2.13     0.00  340.00    0.00   12.09    0.00    2.4K    0.00  300.9K   62.33    0.00   62.33    0.00    0.18    0.00    0.18    0.03    8.20    
23/11/25-18:48:24   1.65    0.15    0.04    0.00    0.00    1.79     0.00  207.00    0.00   30.13    0.00  480.00    0.00  149.9K  159.84    0.00  159.84    0.00    0.60    0.00    0.60    0.08    3.70    
23/11/25-18:48:25   1.79    0.33    0.04    0.00    0.02    2.15     0.00   71.00    0.00   13.81    0.00  443.00    0.00  157.9K  182.48    0.00  182.48    0.00    1.30    0.00    1.30    0.08    3.70    
23/11/25-18:48:26   1.69    0.15    0.06    0.00    0.00    1.83     0.00   84.00    0.00   14.61    0.00  491.00    0.00  177.8K  185.43    0.00  185.43    0.00    1.34    0.00    1.34    0.08    4.10    
23/11/25-18:48:27   1.67    0.15    0.04    0.00    0.00    1.81     0.00   77.00    0.00   14.47    0.00  455.00    0.00  160.8K  180.91    0.00  180.91    0.00    1.26    0.00    1.26    0.08    3.60    
23/11/25-18:48:28   1.69    0.19    0.06    0.00    0.00    1.88     0.00   74.00    0.00   14.15    0.00  449.00    0.00  162.0K  184.75    0.00  184.75    0.00    1.27    0.00    1.27    0.09    4.00    
23/11/25-18:48:29   1.65    0.21    0.04    0.00    0.02    1.88     0.00   80.00    0.00   14.06    0.00  489.00    0.00  181.6K  190.19    0.00  190.19    0.00    1.33    0.00    1.33    0.08    4.00    
Time              -----------------------cpu---------------------- ----------------------------------------------------------------sfdv0n1-----------------------------------------------------------------  
Time                user     sys    wait    hirq    sirq    util    rrqms   wrqms   %rrqm   %wrqm      rs      ws   rsecs   wsecs  rqsize  rarqsz  warqsz  qusize   await  rawait  wawait   svctm    util    
23/11/25-18:48:30   1.75    0.19    0.06    0.00    0.02    1.96     0.00   71.00    0.00   13.03    0.00  474.00    0.00  162.7K  175.76    0.00  175.76    0.00    1.18    0.00    1.18    0.08    3.70    
23/11/25-18:48:31   2.67    1.44    0.02    0.00    0.00    4.11     0.00   70.00    0.00   13.65    0.00  443.00    0.00  153.7K  177.59    0.00  177.59    0.00    1.32    0.00    1.32    0.09    3.90    
23/11/25-18:48:32   1.67    0.27    0.08    0.00    0.00    1.94     0.00  431.00    0.00   14.74    0.00    2.4K    0.00  294.7K   60.52    0.00   60.52    0.00    0.11    0.00    0.11    0.03    8.00    
23/11/25-18:48:33   1.69    0.17    0.04    0.00    0.00    1.86     0.00  138.00    0.00   20.91    0.00  522.00    0.00  183.8K  180.28    0.00  180.28    0.00    1.22    0.00    1.22    0.09    4.50    
23/11/25-18:48:34   1.67    0.17    0.06    0.00    0.02    1.85     0.00   68.00    0.00   13.49    0.00  436.00    0.00  152.7K  179.29    0.00  179.29    0.00    1.29    0.00    1.29    0.08    3.60    
23/11/25-18:48:35   1.71    0.21    0.04    0.00    0.00    1.92     0.00   77.00    0.00   13.85    0.00  479.00    0.00  169.7K  181.39    0.00  181.39    0.00    1.22    0.00    1.22    0.08    4.00    
23/11/25-18:48:36   1.67    0.17    0.06    0.00    0.00    1.84     0.00   92.00    0.00   13.01    0.00  615.00    0.00  180.3K  150.08    0.00  150.08    0.00    0.64    0.00    0.64    0.07    4.40    
23/11/25-18:48:37   1.67    0.19    0.04    0.00    0.02    1.88     0.00   93.00    0.00   11.33    0.00  728.00    0.00  176.4K  124.03    0.00  124.03    0.00    0.51    0.00    0.51    0.06    4.50    
23/11/25-18:48:38   1.65    0.17    0.06    0.00    0.00    1.81     0.00   81.00    0.00   10.01    0.00  728.00    0.00  176.7K  124.30    0.00  124.30    0.00    0.78    0.00    0.78    0.06    4.40    
23/11/25-18:48:39   1.69    0.19    0.06    0.00    0.00    1.88     0.00   96.00    0.00   10.18    0.00  847.00    0.00  201.0K  121.52    0.00  121.52    0.00    0.79    0.00    0.79    0.06    4.90    
23/11/25-18:48:40   1.92    0.27    0.04    0.00    0.00    2.19     0.00  160.00    0.00   15.07    0.00  902.00    0.00  251.6K  142.82    0.00  142.82    0.00    0.55    0.00    0.55    0.06    5.80    
23/11/25-18:48:41   2.25    1.29    0.06    0.00    0.02    3.57     0.00  493.00    0.00   15.99    0.00    2.5K    0.00  221.6K   43.82    0.00   43.82    0.00    0.14    0.00    0.14    0.03    7.40    
23/11/25-18:48:42   1.84    0.40    0.08    0.00    0.00    2.23     0.00  103.00    0.00   11.37    0.00  803.00    0.00  180.3K  114.95    0.00  114.95    0.00    0.56    0.00    0.56    0.05    4.20    
23/11/25-18:48:43   1.75    0.15    0.06    0.00    0.02    1.92     0.00   97.00    0.00   10.92    0.00  791.00    0.00  196.7K  127.34    0.00  127.34    0.00    1.22    0.00    1.22    0.06    4.60    
23/11/25-18:48:44   1.67    0.17    0.04    0.00    0.00    1.84     0.00   89.00    0.00   10.66    0.00  746.00    0.00  177.4K  121.76    0.00  121.76    0.00    0.77    0.00    0.77    0.05    4.00    
23/11/25-18:48:45   1.71    0.25    0.06    0.00    0.00    1.96     0.00  101.00    0.00   12.35    0.00  717.00    0.00  176.1K  125.73    0.00  125.73    0.00    0.90    0.00    0.90    0.06    4.20    
23/11/25-18:48:46   1.67    0.19    0.06    0.00    0.00    1.86     0.00   93.00    0.00   11.57    0.00  711.00    0.00  185.9K  133.90    0.00  133.90    0.00    0.90    0.00    0.90    0.06    4.10    
23/11/25-18:48:47   1.69    0.15    0.04    0.00    0.02    1.86     0.00   89.00    0.00   11.47    0.00  687.00    0.00  174.3K  129.93    0.00  129.93    0.00    0.81    0.00    0.81    0.06    4.10    
23/11/25-18:48:48   1.69    0.15    0.06    0.00    0.00    1.84     0.00   89.00    0.00   11.70    0.00  672.00    0.00  173.9K  132.51    0.00  132.51    0.00    0.86    0.00    0.86    0.06    4.10    
Time              -----------------------cpu---------------------- ----------------------------------------------------------------sfdv0n1-----------------------------------------------------------------  
Time                user     sys    wait    hirq    sirq    util    rrqms   wrqms   %rrqm   %wrqm      rs      ws   rsecs   wsecs  rqsize  rarqsz  warqsz  qusize   await  rawait  wawait   svctm    util    
23/11/25-18:48:49   1.77    0.27    0.06    0.00    0.00    2.04     0.00  422.00    0.00   13.14    0.00    2.7K    0.00  310.0K   56.89    0.00   56.89    0.00    0.10    0.00    0.10    0.03    8.40    
23/11/25-18:48:50   1.73    0.25    0.06    0.00    0.02    2.00     0.00  172.00    0.00   18.78    0.00  744.00    0.00  175.7K  120.91    0.00  120.91    0.00    0.78    0.00    0.78    0.05    3.90    
23/11/25-18:48:51   1.65    0.19    0.06    0.00    0.00    1.84     0.00   91.00    0.00   10.89    0.00  745.00    0.00  190.8K  131.09    0.00  131.09    0.00    0.90    0.00    0.90    0.07    4.90    
23/11/25-18:48:52   2.53    1.44    0.04    0.00    0.02    3.99     0.00   93.00    0.00   11.29    0.00  731.00    0.00  176.9K  123.87    0.00  123.87    0.00    0.78    0.00    0.78    0.05    3.90    
23/11/25-18:48:53   1.65    0.19    0.06    0.00    0.00    1.84     0.00   94.00    0.00   10.38    0.00  812.00    0.00  199.5K  125.76    0.00  125.76    0.00    0.82    0.00    0.82    0.06    4.90    
23/11/25-18:48:54   1.69    0.13    0.06    0.00    0.00    1.81     0.00   90.00    0.00   10.98    0.00  730.00    0.00  169.0K  118.56    0.00  118.56    0.00    0.81    0.00    0.81    0.05    3.80    
23/11/25-18:48:55   1.73    0.19    0.04    0.00    0.02    1.94     0.00   96.00    0.00   11.11    0.00  768.00    0.00  179.1K  119.39    0.00  119.39    0.00    0.77    0.00    0.77    0.06    4.60    
23/11/25-18:48:56   1.69    0.23    0.06    0.00    0.00    1.92     0.00  108.00    0.00   11.46    0.00  834.00    0.00  199.9K  122.70    0.00  122.70    0.00    0.80    0.00    0.80    0.06    4.90    
23/11/25-18:48:57   1.79    0.17    0.04    0.00    0.00    1.96     0.00   71.00    0.00    8.94    0.00  723.00    0.00  154.7K  109.57    0.00  109.57    0.00    0.65    0.00    0.65    0.05    3.30    
23/11/25-18:48:58   1.63    0.31    0.08    0.00    0.00    1.94     0.00  475.00    0.00   14.31    0.00    2.8K    0.00  327.1K   58.88    0.00   58.88    0.00    0.13    0.00    0.13    0.03    8.50    
23/11/25-18:48:59   1.67    0.19    0.08    0.00    0.02    1.88     0.00  132.00    0.00   14.22    0.00  796.00    0.00  183.1K  117.77    0.00  117.77    0.00    0.77    0.00    0.77    0.06    4.50    
23/11/25-18:49:00   1.65    0.23    0.04    0.00    0.00    1.88     0.00   93.00    0.00   10.22    0.00  817.00    0.00  192.4K  120.57    0.00  120.57    0.00    0.81    0.00    0.81    0.06    4.60    
23/11/25-18:49:01   1.77    0.29    0.06    0.00    0.02    2.09     0.00   94.00    0.00   10.38    0.00  812.00    0.00  181.1K  114.18    0.00  114.18    0.00    0.71    0.00    0.71    0.06    4.50    
23/11/25-18:49:02   2.28    1.21    0.06    0.00    0.00    3.49     0.00  129.00    0.00   13.41    0.00  833.00    0.00  181.5K  111.56    0.00  111.56    0.00    0.58    0.00    0.58    0.05    4.30    
23/11/25-18:49:03   1.90    0.40    0.06    0.00    0.00    2.30     0.00   97.00    0.00   10.32    0.00  843.00    0.00  200.1K  121.54    0.00  121.54    0.00    0.78    0.00    0.78    0.06    4.90    
23/11/25-18:49:04   1.67    0.19    0.04    0.00    0.02    1.88     0.00   87.00    0.00    9.63    0.00  816.00    0.00  181.9K  114.14    0.00  114.14    0.00    0.80    0.00    0.80    0.06    4.50    
23/11/25-18:49:05   1.77    0.19    0.06    0.00    0.00    1.96     0.00   89.00    0.00    9.64    0.00  834.00    0.00  182.1K  111.78    0.00  111.78    0.00    0.76    0.00    0.76    0.05    4.50    
23/11/25-18:49:06   1.88    0.31    0.08    0.00    0.00    2.19     0.00  401.00    0.00   11.55    0.00    3.0K    0.00  326.6K   54.45    0.00   54.45    0.00    0.14    0.00    0.14    0.03    8.60    
23/11/25-18:49:07   1.67    0.17    0.06    0.00    0.02    1.86     0.00  229.00    0.00   18.59    0.00    1.0K    0.00  176.8K   90.25    0.00   90.25    0.00    0.48    0.00    0.48    0.05    4.60    
Time              -----------------------cpu---------------------- ----------------------------------------------------------------sfdv0n1-----------------------------------------------------------------  
Time                user     sys    wait    hirq    sirq    util    rrqms   wrqms   %rrqm   %wrqm      rs      ws   rsecs   wsecs  rqsize  rarqsz  warqsz  qusize   await  rawait  wawait   svctm    util    
23/11/25-18:49:08   1.67    0.17    0.06    0.00    0.00    1.84     0.00  112.00    0.00    9.49    0.00    1.0K    0.00  212.6K  101.90    0.00  101.90    0.00    0.57    0.00    0.57    0.05    5.20    
23/11/25-18:49:09   1.67    0.19    0.06    0.00    0.00    1.86     0.00  107.00    0.00    9.70    0.00  996.00    0.00  191.8K   98.61    0.00   98.61    0.00    0.60    0.00    0.60    0.05    4.80    
23/11/25-18:49:10   1.69    0.19    0.06    0.00    0.00    1.88     0.00  102.00    0.00    9.03    0.00    1.0K    0.00  194.3K   96.76    0.00   96.76    0.00    0.59    0.00    0.59    0.05    4.80    
23/11/25-18:49:11   1.75    0.21    0.06    0.00    0.02    1.98     0.00  107.00    0.00    9.22    0.00    1.0K    0.00  212.7K  103.42    0.00  103.42    0.00    0.74    0.00    0.74    0.05    4.80    
23/11/25-18:49:12   1.67    0.17    0.06    0.00    0.00    1.84     0.00   96.00    0.00    8.48    0.00    1.0K    0.00  186.8K   92.32    0.00   92.32    0.00    0.59    0.00    0.59    0.04    4.60    
23/11/25-18:49:13   2.57    1.59    0.06    0.00    0.02    4.18     0.00  106.00    0.00    9.39    0.00    1.0K    0.00  202.1K  101.16    0.00  101.16    0.00    0.59    0.00    0.59    0.05    4.80    
23/11/25-18:49:14   1.69    0.19    0.06    0.00    0.00    1.88     0.00  108.00    0.00    9.61    0.00    1.0K    0.00  197.4K   99.48    0.00   99.48    0.00    0.63    0.00    0.63    0.05    4.70    
23/11/25-18:49:15   1.81    0.35    0.06    0.00    0.00    2.17     0.00  475.00    0.00   13.27    0.00    3.0K    0.00  323.4K   53.33    0.00   53.33    0.00    0.10    0.00    0.10    0.03    9.60    
23/11/25-18:49:16   1.75    0.23    0.06    0.00    0.02    2.00     0.00  164.00    0.00   13.87    0.00    1.0K    0.00  193.9K   97.52    0.00   97.52    0.00    0.59    0.00    0.59    0.05    4.70    
23/11/25-18:49:17   1.67    0.19    0.06    0.00    0.00    1.86     0.00  100.00    0.00    8.95    0.00    1.0K    0.00  193.1K   97.20    0.00   97.20    0.00    0.59    0.00    0.59    0.05    4.60    
23/11/25-18:49:18   1.65    0.17    0.06    0.00    0.00    1.82     0.00  103.00    0.00    9.20    0.00    1.0K    0.00  210.5K  105.97    0.00  105.97    0.00    0.67    0.00    0.67    0.05    4.90    
23/11/25-18:49:19   1.69    0.21    0.04    0.00    0.02    1.92     0.00   92.00    0.00    8.33    0.00    1.0K    0.00  186.4K   94.30    0.00   94.30    0.00    0.60    0.00    0.60    0.05    4.70    
23/11/25-18:49:20   1.69    0.19    0.06    0.00    0.00    1.88     0.00   98.00    0.00    8.79    0.00    1.0K    0.00  193.1K   97.22    0.00   97.22    0.00    0.57    0.00    0.57    0.04    4.30    
23/11/25-18:49:21   1.73    0.25    0.06    0.00    0.00    1.98     0.00  109.00    0.00    9.14    0.00    1.1K    0.00  214.6K  101.45    0.00  101.45    0.00    0.63    0.00    0.63    0.05    5.10    
23/11/25-18:49:22   1.67    0.17    0.04    0.00    0.02    1.86     0.00   98.00    0.00    8.87    0.00    1.0K    0.00  154.4K   78.52    0.00   78.52    0.00    0.37    0.00    0.37    0.03    3.50    
23/11/25-18:49:23   2.42    1.09    0.04    0.00    0.00    3.51     0.00   75.00    0.00    6.56    5.00    1.0K  360.00  207.4K   99.05   36.00   99.34    0.00    0.48    0.60    0.48    0.05    5.30    
23/11/25-18:49:24   1.90    0.65    0.10    0.00    0.00    2.54     0.00  541.00    0.00   14.91    3.00    3.0K  512.00  299.2K   49.67   85.33   49.63    0.00    0.17    0.67    0.17    0.03    8.50    
23/11/25-18:49:25   1.75    0.19    0.06    0.00    0.02    1.96     0.00  111.00    0.00    9.64    0.00    1.0K    0.00  198.2K   97.50    0.00   97.50    0.00    0.57    0.00    0.57    0.05    4.70    
23/11/25-18:49:26   1.69    0.25    0.08    0.00    0.00    1.94     0.00  107.00    0.00    9.08    0.00    1.0K    0.00  195.7K   93.54    0.00   93.54    0.00    0.59    0.00    0.59    0.04    4.70    
Time              -----------------------cpu---------------------- ----------------------------------------------------------------sfdv0n1-----------------------------------------------------------------  
Time                user     sys    wait    hirq    sirq    util    rrqms   wrqms   %rrqm   %wrqm      rs      ws   rsecs   wsecs  rqsize  rarqsz  warqsz  qusize   await  rawait  wawait   svctm    util    
23/11/25-18:49:27   1.69    0.19    0.04    0.00    0.00    1.88     0.00  104.00    0.00    8.49    0.00    1.1K    0.00  198.9K   90.84    0.00   90.84    0.00    0.53    0.00    0.53    0.04    5.00    
23/11/25-18:49:28   1.67    0.21    0.08    0.00    0.02    1.90     0.00  118.00    0.00    9.41    0.00    1.1K    0.00  216.9K   97.74    0.00   97.74    0.00    0.62    0.00    0.62    0.05    5.30    
23/11/25-18:49:29   1.71    0.23    0.06    0.00    0.00    1.94     0.00  102.00    0.00    8.43    0.00    1.1K    0.00  198.5K   91.70    0.00   91.70    0.00    0.55    0.00    0.55    0.05    5.10    
23/11/25-18:49:30   1.65    0.21    0.04    0.00    0.02    1.88     0.00  102.00    0.00    8.23    0.00    1.1K    0.00  192.7K   86.68    0.00   86.68    0.00    0.51    0.00    0.51    0.04    4.50    
23/11/25-18:49:31   1.77    0.27    0.06    0.00    0.00    2.04     0.00  112.00    0.00    8.66    0.00    1.2K    0.00  219.4K   95.12    0.00   95.12    0.00    0.57    0.00    0.57    0.05    5.60    
23/11/25-18:49:32   1.86    0.29    0.08    0.00    0.00    2.15     0.00  431.00    0.00   11.60    0.00    3.2K    0.00  370.7K   57.79    0.00   57.79    0.00    0.18    0.00    0.18    0.03   10.10    
23/11/25-18:49:33   1.67    0.19    0.06    0.00    0.00    1.86     0.00  227.00    0.00   16.64    0.00    1.1K    0.00  161.1K   72.55    0.00   72.55    0.00    0.23    0.00    0.23    0.04    4.10    
23/11/25-18:49:34   2.69    1.52    0.04    0.00    0.02    4.24     0.00  109.00    0.00    8.74    0.00    1.1K    0.00  199.5K   89.77    0.00   89.77    0.00    0.42    0.00    0.42    0.04    4.70    
23/11/25-18:49:35   1.71    0.19    0.06    0.00    0.00    1.90     0.00  113.00    0.00    8.48    0.00    1.2K    0.00  212.8K   89.32    0.00   89.32    0.00    0.50    0.00    0.50    0.04    5.40    
23/11/25-18:49:36   1.77    0.23    0.06    0.00    0.00    2.00     0.00  113.00    0.00    7.75    0.00    1.3K    0.00  212.5K   80.89    0.00   80.89    0.00    0.46    0.00    0.46    0.04    5.10    
23/11/25-18:49:37   1.69    0.23    0.06    0.00    0.02    1.94     0.00  107.00    0.00    7.83    0.00    1.2K    0.00  206.0K   83.69    0.00   83.69    0.00    0.52    0.00    0.52    0.04    5.00    
23/11/25-18:49:38   1.63    0.21    0.08    0.00    0.00    1.84     0.00  115.00    0.00    8.00    0.00    1.3K    0.00  227.3K   88.02    0.00   88.02    0.00    0.51    0.00    0.51    0.04    5.80    
23/11/25-18:49:39   1.71    0.21    0.06    0.00    0.00    1.92     0.00  110.00    0.00    7.52    0.00    1.3K    0.00  212.1K   80.25    0.00   80.25    0.00    0.46    0.00    0.46    0.04    5.10    
23/11/25-18:49:40   1.75    0.17    0.04    0.00    0.02    1.94     0.00  101.00    0.00    6.98    0.00    1.3K    0.00  203.3K   77.28    0.00   77.28    0.00    0.56    0.00    0.56    0.04    5.20    
23/11/25-18:49:41   1.86    0.42    0.10    0.00    0.00    2.27     0.00  491.00    0.00   12.36   30.00    3.4K    4.4K  360.8K   53.22   75.47   53.03    0.00    0.15    0.43    0.15    0.03   10.90    
23/11/25-18:49:42   1.65    0.19    0.06    0.00    0.00    1.84     0.00  177.00    0.00   11.46    0.00    1.3K    0.00  194.7K   72.91    0.00   72.91    0.00    0.72    0.00    0.72    0.04    4.90    
23/11/25-18:49:43   1.67    0.21    0.08    0.00    0.00    1.88     0.00  118.00    0.00    7.54    0.00    1.4K    0.00  235.8K   83.42    0.00   83.42    1.00    0.98    0.00    0.98    0.04    6.10    
23/11/25-18:49:44   2.32    1.19    0.06    0.00    0.00    3.51     0.00  109.00    0.00    7.67    0.00    1.3K    0.00  209.4K   81.64    0.00   81.64    0.00    0.47    0.00    0.47    0.04    5.00    
23/11/25-18:49:45   2.00    0.58    0.06    0.00    0.02    2.61     0.00  152.00    0.00    9.80    0.00    1.4K    0.00  213.8K   78.25    0.00   78.25    0.00    0.45    0.00    0.45    0.04    5.30    
Time              -----------------------cpu---------------------- ----------------------------------------------------------------sfdv0n1-----------------------------------------------------------------  
Time                user     sys    wait    hirq    sirq    util    rrqms   wrqms   %rrqm   %wrqm      rs      ws   rsecs   wsecs  rqsize  rarqsz  warqsz  qusize   await  rawait  wawait   svctm    util    
23/11/25-18:49:46   1.67    0.19    0.06    0.00    0.00    1.86     0.00  116.00    0.00    7.65    0.00    1.4K    0.00  225.4K   82.41    0.00   82.41    0.00    0.49    0.00    0.49    0.04    5.60    
23/11/25-18:49:47   1.79    0.19    0.06    0.00    0.00    1.98     0.00  112.00    0.00    7.44    0.00    1.4K    0.00  214.3K   78.76    0.00   78.76    0.00    0.51    0.00    0.51    0.04    5.40    
23/11/25-18:49:48   1.67    0.21    0.06    0.00    0.02    1.90     0.00  109.00    0.00    7.23    0.00    1.4K    0.00  214.8K   78.67    0.00   78.67    0.00    0.44    0.00    0.44    0.04    5.20    
23/11/25-18:49:49   1.90    0.31    0.04    0.00    0.00    2.21     0.00   99.00    0.00    6.13    3.00    1.5K  448.00  273.1K   92.19   74.67   92.22    0.00    0.45    0.33    0.45    0.05    7.00    
23/11/25-18:49:50   1.69    0.31    0.10    0.00    0.00    2.00     0.00  574.00    0.00   14.35    0.00    3.3K    0.00  298.8K   44.66    0.00   44.66    0.00    0.09    0.00    0.09    0.03    8.70    
23/11/25-18:49:51   1.67    0.23    0.06    0.00    0.02    1.92     0.00  165.00    0.00   10.07    0.00    1.4K    0.00  215.0K   74.74    0.00   74.74    0.00    0.39    0.00    0.39    0.04    5.70    
